,movieId,title,ratingsCount,averageRating
0,1,Toy Story (1995),215,3.9209301
1,2,Jumanji (1995),110,3.4318182
2,3,Grumpier Old Men (1995),52,3.2596154
3,4,Waiting to Exhale (1995),7,2.357143
4,5,Father of the Bride Part II (1995),49,3.0714285
5,6,Heat (1995),102,3.9460785
6,7,Sabrina (1995),54,3.1851852
7,8,Tom and Huck (1995),8,2.875
8,9,Sudden Death (1995),16,3.125
9,10,GoldenEye (1995),132,3.496212
10,11,"American President, The (1995)",70,3.6714287
11,12,Dracula: Dead and Loving It (1995),19,2.4210527
12,13,Balto (1995),8,3.125
13,14,Nixon (1995),18,3.8333333
14,15,Cutthroat Island (1995),13,3.0
15,16,Casino (1995),82,3.9268293
16,17,Sense and Sensibility (1995),67,3.7761195
17,18,Four Rooms (1995),20,3.7
18,19,Ace Ventura: When Nature Calls (1995),88,2.7272727
19,20,Money Train (1995),15,2.5
20,21,Get Shorty (1995),89,3.494382
21,22,Copycat (1995),36,3.2222223
22,23,Assassins (1995),16,3.125
23,24,Powder (1995),28,3.125
24,25,Leaving Las Vegas (1995),76,3.625
25,26,Othello (1995),13,3.5
26,27,Now and Then (1995),9,3.3333333
27,28,Persuasion (1995),11,4.2272725
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",38,4.013158
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3,3.0
30,31,Dangerous Minds (1995),38,3.1842105
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),177,3.9830508
32,34,Babe (1995),128,3.6523438
33,36,Dead Man Walking (1995),67,3.835821
34,38,It Takes Two (1995),4,2.125
35,39,Clueless (1995),104,3.2932692
36,40,"Cry, the Beloved Country (1995)",2,4.25
37,41,Richard III (1995),15,3.7
38,42,Dead Presidents (1995),7,3.0
39,43,Restoration (1995),8,3.1875
40,44,Mortal Kombat (1995),46,2.5434783
41,45,To Die For (1995),32,3.3125
42,46,How to Make an American Quilt (1995),15,3.0666666
43,47,Seven (a.k.a. Se7en) (1995),203,3.9753695
44,48,Pocahontas (1995),68,3.1470587
45,49,When Night Is Falling (1995),1,3.0
46,50,"Usual Suspects, The (1995)",204,4.2377453
47,52,Mighty Aphrodite (1995),28,3.4642856
48,53,Lamerica (1994),2,5.0
49,54,"Big Green, The (1995)",3,2.3333333
50,55,Georgia (1995),1,4.0
51,57,Home for the Holidays (1995),8,3.0625
52,58,"Postman, The (Postino, Il) (1994)",37,4.027027
53,60,"Indian in the Cupboard, The (1995)",34,3.235294
54,61,Eye for an Eye (1996),6,3.75
55,62,Mr. Holland's Opus (1995),80,3.70625
56,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),7,2.7142856
57,64,Two if by Sea (1996),5,2.2
58,65,Bio-Dome (1996),31,2.532258
59,66,Lawnmower Man 2: Beyond Cyberspace (1996),9,2.5
60,68,French Twist (Gazon maudit) (1995),5,3.4
61,69,Friday (1995),20,3.775
62,70,From Dusk Till Dawn (1996),55,3.509091
63,71,Fair Game (1995),5,1.7
64,72,Kicking and Screaming (1995),7,3.2142856
65,73,"Misérables, Les (1995)",13,3.4615386
66,74,Bed of Roses (1996),8,4.0
67,75,Big Bully (1996),5,2.2
68,76,Screamers (1995),15,3.4
69,77,Nico Icon (1995),1,4.0
70,78,"Crossing Guard, The (1995)",3,3.3333333
71,79,"Juror, The (1996)",17,2.764706
72,80,"White Balloon, The (Badkonake sefid) (1995)",2,4.0
73,81,Things to Do in Denver When You're Dead (1995),14,3.107143
74,82,Antonia's Line (Antonia) (1995),8,3.875
75,83,Once Upon a Time... When We Were Colored (1995),1,3.0
76,85,Angels and Insects (1995),7,3.857143
77,86,White Squall (1996),15,3.9666667
78,87,Dunston Checks In (1996),7,2.5
79,88,Black Sheep (1996),16,3.15625
80,89,Nick of Time (1995),10,3.25
81,92,Mary Reilly (1996),8,2.625
82,93,Vampire in Brooklyn (1995),9,2.8333333
83,94,Beautiful Girls (1996),10,3.95
84,95,Broken Arrow (1996),84,3.0238094
85,96,In the Bleak Midwinter (1995),1,3.5
86,97,"Hate (Haine, La) (1995)",10,3.9
87,99,Heidi Fleiss: Hollywood Madam (1995),2,5.0
88,100,City Hall (1996),14,2.7857144
89,101,Bottle Rocket (1996),23,3.7826087
90,102,Mr. Wrong (1996),5,2.4
91,103,Unforgettable (1996),3,3.0
92,104,Happy Gilmore (1996),99,3.439394
93,105,"Bridges of Madison County, The (1995)",23,3.2826087
94,106,Nobody Loves Me (Keiner liebt mich) (1994),1,4.0
95,107,Muppet Treasure Island (1996),26,3.3269231
96,108,Catwalk (1996),1,4.0
97,110,Braveheart (1995),237,4.031646
98,111,Taxi Driver (1976),104,4.105769
99,112,Rumble in the Bronx (Hont faan kui) (1995),46,3.5434783
100,113,Before and After (1996),3,3.3333333
101,116,Anne Frank Remembered (1995),5,3.9
102,117,"Young Poisoner's Handbook, The (1995)",1,3.0
103,118,If Lucy Fell (1996),2,2.5
104,119,"Steal Big, Steal Little (1995)",2,3.0
105,121,"Boys of St. Vincent, The (1992)",2,4.0
106,122,Boomerang (1992),16,2.65625
107,123,Chungking Express (Chung Hing sam lam) (1994),4,4.375
108,125,Flirting With Disaster (1996),12,3.5833333
109,126,"NeverEnding Story III, The (1994)",7,2.0
110,128,Jupiter's Wife (1994),1,3.0
111,129,Pie in the Sky (1996),1,2.0
112,132,Jade (1995),6,2.8333333
113,135,Down Periscope (1996),31,2.951613
114,137,Man of the Year (1995),1,3.0
115,140,Up Close and Personal (1996),16,3.5
116,141,"Birdcage, The (1996)",86,3.4941862
117,144,"Brothers McMullen, The (1995)",12,3.3333333
118,145,Bad Boys (1995),51,3.245098
119,146,"Amazing Panda Adventure, The (1995)",3,3.3333333
120,147,"Basketball Diaries, The (1995)",15,3.4666667
121,148,"Awfully Big Adventure, An (1995)",1,5.0
122,149,Amateur (1994),1,2.0
123,150,Apollo 13 (1995),201,3.845771
124,151,Rob Roy (1995),44,3.5454545
125,152,"Addiction, The (1995)",2,1.5
126,153,Batman Forever (1995),137,2.9160583
127,154,Beauty of the Day (Belle de jour) (1967),12,3.875
128,155,Beyond Rangoon (1995),6,2.4166667
129,156,Blue in the Face (1995),3,3.3333333
130,157,Canadian Bacon (1995),11,2.8636363
